Store_ID,State,Zipcode,Nearby_Store_Conflict,Nearby_Store_Owner_Type
STORE_0,NY,29767,No,Solo
STORE_1,MD,31903,No,Solo
STORE_2,CA,34901,No,Multi-store
STORE_3,CA,12022,No,Multi-store
STORE_4,MD,34901,No,Multi-store
STORE_5,NC,90644,Yes,Solo
STORE_6,TX,12022,Yes,Multi-store
STORE_7,NC,12022,No,Multi-store
STORE_8,NC,34901,Yes,Solo
STORE_9,WA,21137,No,Multi-store
STORE_10,GA,34901,No,Multi-store
STORE_11,WA,31903,No,Multi-store
STORE_12,GA,21137,Yes,Solo
STORE_13,VA,31903,Yes,Multi-store
STORE_14,NY,90644,No,Solo
STORE_15,GA,29767,No,Solo
STORE_16,MD,77567,No,Solo
STORE_17,WA,21137,Yes,Solo
STORE_18,TX,90644,Yes,Multi-store
STORE_19,NY,99206,No,Multi-store
STORE_20,VA,90644,No,Multi-store
STORE_21,GA,34901,No,Solo
STORE_22,VA,34901,No,Multi-store
STORE_23,TX,77567,No,Multi-store
STORE_24,NC,90644,Yes,Multi-store
STORE_25,CA,24515,No,Multi-store
STORE_26,TX,29767,No,Solo
STORE_27,SC,34901,No,Solo
STORE_28,TX,77567,Yes,Multi-store
STORE_29,VA,29767,Yes,Solo
STORE_30,MD,90644,No,Multi-store
STORE_31,WA,90644,Yes,Solo
STORE_32,MD,12022,No,Solo
STORE_33,VA,77567,Yes,Multi-store
STORE_34,WA,34901,Yes,Multi-store
STORE_35,SC,24515,No,Solo
STORE_36,CA,90644,No,Solo
STORE_37,NY,24515,No,Solo
STORE_38,VA,90644,Yes,Solo
STORE_39,GA,34901,No,Solo
STORE_40,VA,29767,Yes,Solo
STORE_41,VA,28648,Yes,Solo
STORE_42,WA,29767,No,Multi-store
STORE_43,FL,90644,Yes,Solo
STORE_44,TX,31903,No,Solo
STORE_45,FL,28648,No,Solo
STORE_46,SC,28648,No,Multi-store
STORE_47,GA,24515,No,Multi-store
STORE_48,CA,77567,No,Solo
STORE_49,NC,24515,Yes,Solo
STORE_50,SC,24515,No,Solo
STORE_51,NC,31903,No,Multi-store
STORE_52,NC,29767,No,Multi-store
STORE_53,CA,29767,Yes,Multi-store
STORE_54,MD,99206,No,Solo
STORE_55,FL,90644,No,Multi-store
STORE_56,VA,31903,No,Solo
STORE_57,NY,99206,No,Multi-store
STORE_58,NC,34901,No,Solo
STORE_59,GA,90644,No,Solo
STORE_60,SC,90644,No,Solo
STORE_61,MD,12022,Yes,Multi-store
STORE_62,NC,12022,Yes,Solo
STORE_63,MD,21137,No,Multi-store
STORE_64,MD,21137,No,Multi-store
STORE_65,NC,24515,No,Multi-store
STORE_66,WA,34901,No,Solo
STORE_67,TX,28648,No,Multi-store
STORE_68,GA,28648,Yes,Solo
STORE_69,VA,12022,No,Multi-store
STORE_70,VA,12022,No,Multi-store
STORE_71,GA,12022,No,Multi-store
STORE_72,WA,31903,No,Solo
STORE_73,VA,77567,Yes,Multi-store
STORE_74,MD,21137,No,Solo
STORE_75,CA,31903,No,Solo
STORE_76,SC,29767,No,Solo
STORE_77,FL,28648,No,Multi-store
STORE_78,VA,90644,No,Multi-store
STORE_79,GA,21137,No,Solo
STORE_80,CA,99206,No,Solo
STORE_81,NC,29767,No,Multi-store
STORE_82,TX,21137,Yes,Solo
STORE_83,GA,31903,No,Multi-store
STORE_84,MD,34901,No,Solo
STORE_85,TX,90644,No,Multi-store
STORE_86,SC,21137,No,Multi-store
STORE_87,SC,77567,No,Multi-store
STORE_88,WA,12022,No,Solo
STORE_89,NY,12022,No,Solo
STORE_90,WA,90644,No,Multi-store
STORE_91,CA,31903,No,Solo
STORE_92,TX,12022,No,Solo
STORE_93,NY,21137,No,Solo
STORE_94,NC,99206,Yes,Multi-store
STORE_95,MD,28648,No,Solo
STORE_96,TX,28648,No,Multi-store
STORE_97,WA,29767,No,Multi-store
STORE_98,FL,24515,No,Solo
STORE_99,NY,34901,No,Solo
STORE_100,NY,90644,Yes,Solo
STORE_101,MD,29767,No,Solo
STORE_102,VA,24515,Yes,Solo
STORE_103,SC,31903,No,Multi-store
STORE_104,SC,77567,No,Multi-store
STORE_105,FL,77567,No,Solo
STORE_106,CA,34901,No,Solo
STORE_107,CA,12022,No,Solo
STORE_108,NC,21137,No,Solo
STORE_109,TX,29767,No,Solo
STORE_110,GA,29767,No,Solo
STORE_111,VA,90644,No,Multi-store
STORE_112,WA,90644,No,Multi-store
STORE_113,GA,77567,No,Solo
STORE_114,GA,77567,No,Solo
STORE_115,NY,99206,No,Solo
STORE_116,FL,99206,Yes,Multi-store
STORE_117,SC,12022,No,Solo
STORE_118,NC,99206,No,Solo
STORE_119,CA,21137,No,Solo
STORE_120,FL,21137,Yes,Multi-store
STORE_121,NY,29767,No,Solo
STORE_122,WA,28648,Yes,Solo
STORE_123,NC,21137,Yes,Solo
STORE_124,NY,24515,No,Solo
STORE_125,SC,77567,No,Solo
STORE_126,SC,90644,No,Multi-store
STORE_127,SC,99206,No,Multi-store
STORE_128,FL,29767,No,Solo
STORE_129,FL,34901,Yes,Multi-store
STORE_130,CA,90644,Yes,Solo
STORE_131,CA,24515,No,Multi-store
STORE_132,WA,99206,Yes,Multi-store
STORE_133,NC,24515,Yes,Solo
STORE_134,MD,77567,No,Multi-store
STORE_135,MD,77567,No,Solo
STORE_136,NY,12022,No,Solo
STORE_137,SC,29767,No,Multi-store
STORE_138,NC,90644,No,Solo
STORE_139,GA,31903,No,Multi-store
STORE_140,FL,31903,No,Solo
STORE_141,TX,90644,No,Multi-store
STORE_142,VA,34901,No,Multi-store
STORE_143,WA,29767,Yes,Solo
STORE_144,SC,24515,No,Solo
STORE_145,SC,34901,Yes,Multi-store
STORE_146,SC,28648,No,Solo
STORE_147,FL,90644,No,Solo
STORE_148,FL,24515,Yes,Solo
STORE_149,VA,31903,Yes,Multi-store
STORE_150,GA,21137,No,Solo
STORE_151,NC,12022,No,Solo
STORE_152,SC,31903,No,Solo
STORE_153,MD,29767,No,Solo
STORE_154,CA,77567,No,Multi-store
STORE_155,MD,21137,No,Multi-store
STORE_156,NY,12022,Yes,Multi-store
STORE_157,MD,12022,Yes,Multi-store
STORE_158,NY,28648,No,Multi-store
STORE_159,TX,28648,No,Solo
STORE_160,CA,99206,Yes,Multi-store
STORE_161,MD,31903,No,Multi-store
STORE_162,TX,31903,No,Multi-store
STORE_163,WA,31903,No,Multi-store
STORE_164,NC,99206,No,Multi-store
STORE_165,TX,34901,No,Solo
STORE_166,NC,12022,Yes,Multi-store
STORE_167,MD,21137,Yes,Solo
STORE_168,GA,29767,No,Multi-store
STORE_169,TX,12022,No,Solo
STORE_170,CA,28648,No,Multi-store
STORE_171,MD,24515,No,Solo
STORE_172,SC,77567,No,Solo
STORE_173,FL,99206,No,Solo
STORE_174,TX,90644,Yes,Solo
STORE_175,CA,24515,Yes,Solo
STORE_176,WA,29767,No,Solo
STORE_177,SC,31903,No,Solo
STORE_178,WA,28648,No,Solo
STORE_179,MD,28648,No,Solo
STORE_180,FL,28648,No,Solo
STORE_181,TX,31903,No,Multi-store
STORE_182,TX,90644,No,Solo
STORE_183,GA,99206,No,Multi-store
STORE_184,GA,24515,Yes,Solo
STORE_185,MD,31903,Yes,Multi-store
STORE_186,MD,29767,No,Multi-store
STORE_187,FL,99206,No,Solo
STORE_188,GA,29767,Yes,Solo
STORE_189,CA,99206,No,Multi-store
STORE_190,CA,90644,No,Multi-store
STORE_191,FL,77567,No,Multi-store
STORE_192,CA,29767,No,Solo
STORE_193,NY,31903,No,Multi-store
STORE_194,NC,99206,No,Solo
STORE_195,FL,28648,Yes,Solo
STORE_196,FL,12022,Yes,Solo
STORE_197,VA,28648,No,Multi-store
STORE_198,SC,34901,No,Multi-store
STORE_199,SC,77567,No,Solo
STORE_200,NY,77567,Yes,Solo
STORE_201,GA,28648,No,Multi-store
STORE_202,MD,24515,Yes,Solo
STORE_203,MD,90644,No,Multi-store
STORE_204,WA,29767,No,Multi-store
STORE_205,NY,31903,Yes,Multi-store
STORE_206,FL,77567,No,Solo
STORE_207,NY,28648,Yes,Multi-store
STORE_208,NY,28648,No,Multi-store
STORE_209,NY,90644,Yes,Multi-store
STORE_210,SC,90644,No,Solo
STORE_211,NY,21137,No,Solo
STORE_212,NC,21137,No,Multi-store
STORE_213,MD,24515,Yes,Multi-store
STORE_214,WA,24515,No,Multi-store
STORE_215,NC,34901,No,Solo
STORE_216,WA,24515,No,Multi-store
STORE_217,VA,99206,Yes,Solo
STORE_218,WA,90644,No,Multi-store
STORE_219,MD,31903,No,Multi-store
STORE_220,MD,99206,Yes,Multi-store
STORE_221,NY,29767,Yes,Solo
STORE_222,TX,28648,No,Solo
STORE_223,VA,24515,Yes,Solo
STORE_224,FL,28648,No,Multi-store
STORE_225,CA,77567,No,Multi-store
STORE_226,WA,34901,No,Solo
STORE_227,TX,77567,No,Solo
STORE_228,NY,34901,Yes,Solo
STORE_229,SC,21137,No,Multi-store
STORE_230,FL,28648,No,Multi-store
STORE_231,GA,34901,No,Multi-store
STORE_232,TX,12022,No,Solo
STORE_233,SC,99206,No,Solo
STORE_234,VA,34901,Yes,Solo
STORE_235,NY,34901,No,Multi-store
STORE_236,FL,99206,Yes,Solo
STORE_237,FL,28648,Yes,Multi-store
STORE_238,FL,28648,Yes,Multi-store
STORE_239,VA,99206,No,Solo
STORE_240,WA,77567,No,Solo
STORE_241,GA,12022,No,Solo
STORE_242,VA,31903,No,Solo
STORE_243,CA,29767,No,Multi-store
STORE_244,GA,12022,No,Solo
STORE_245,MD,28648,No,Solo
STORE_246,NY,31903,No,Multi-store
STORE_247,VA,21137,No,Solo
STORE_248,SC,24515,No,Solo
STORE_249,GA,34901,No,Multi-store
STORE_250,CA,99206,Yes,Multi-store
STORE_251,MD,99206,No,Multi-store
STORE_252,WA,34901,Yes,Solo
STORE_253,SC,24515,Yes,Solo
STORE_254,GA,29767,No,Solo
STORE_255,NY,24515,No,Multi-store
STORE_256,SC,31903,No,Solo
STORE_257,MD,24515,No,Solo
STORE_258,SC,31903,No,Multi-store
STORE_259,NC,24515,No,Solo
STORE_260,TX,29767,No,Solo
STORE_261,WA,29767,No,Multi-store
STORE_262,MD,28648,No,Multi-store
STORE_263,SC,34901,No,Solo
STORE_264,TX,29767,No,Solo
STORE_265,TX,31903,Yes,Solo
STORE_266,SC,29767,No,Solo
STORE_267,NY,28648,Yes,Multi-store
STORE_268,NC,99206,No,Multi-store
STORE_269,VA,31903,No,Solo
STORE_270,NC,28648,No,Multi-store
STORE_271,SC,77567,Yes,Solo
STORE_272,WA,77567,Yes,Multi-store
STORE_273,VA,21137,No,Multi-store
STORE_274,MD,24515,Yes,Multi-store
STORE_275,NC,34901,No,Multi-store
STORE_276,SC,90644,No,Solo
STORE_277,NC,12022,No,Multi-store
STORE_278,VA,28648,No,Solo
STORE_279,CA,99206,No,Solo
